Configuration, Workload, Subworkload, Iteration, Parameters, ScoreName, ScoreValue
default,Mlc,RunAll,2,,02500_bw(MB/s),12908.4
default,Mlc,RunAll,2,,03500_bw(MB/s),9472.0
default,Mlc,RunAll,2,,05000_bw(MB/s),6873.0
default,Mlc,RunAll,2,,09000_bw(MB/s),4174.5
default,Mlc,RunAll,2,,20000_bw(MB/s),2316.9
default,streamServer,NTW_Bandwidth,0,memory_node=all_threads=44,Add,126.4
default,streamServer,NTW_Bandwidth,0,memory_node=all_threads=44,Copy,118.0
default,streamServer,NTW_Bandwidth,0,memory_node=all_threads=44,Scale,118.2
default,streamServer,NTW_Bandwidth,0,memory_node=all_threads=44,Triad,127.3
default,streamServer,NTW_Bandwidth,1,memory_node=all_threads=44,Add,126.7
default,streamServer,NTW_Bandwidth,1,memory_node=all_threads=44,Copy,118.2
default,streamServer,NTW_Bandwidth,1,memory_node=all_threads=44,Scale,118.2
default,streamServer,NTW_Bandwidth,1,memory_node=all_threads=44,Triad,126.8
default,streamServer,NTW_Bandwidth,2,memory_node=all_threads=44,Add,126.8
default,streamServer,NTW_Bandwidth,2,memory_node=all_threads=44,Copy,118.1
default,streamServer,NTW_Bandwidth,2,memory_node=all_threads=44,Scale,118.1
default,streamServer,NTW_Bandwidth,2,memory_node=all_threads=44,Triad,126.6
default,spec06Server,400.perlbench,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1757.ref.rsf
default,spec06Server,400.perlbench,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1386.46
default,spec06Server,401.bzip2,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1758.ref.rsf
default,spec06Server,401.bzip2,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,849.5
default,spec06Server,403.gcc,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1759.ref.rsf
default,spec06Server,403.gcc,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1126.02
default,spec06Server,429.mcf,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1760.ref.rsf
default,spec06Server,429.mcf,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1896.59
default,spec06Server,445.gobmk,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1761.ref.rsf
default,spec06Server,445.gobmk,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1199.92
default,spec06Server,456.hmmer,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1762.ref.rsf
default,spec06Server,456.hmmer,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,2134.79
default,spec06Server,458.sjeng,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1763.ref.rsf
default,spec06Server,458.sjeng,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1289.73
default,spec06Server,462.libquantum,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1764.ref.rsf
default,spec06Server,462.libquantum,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,11613.72
default,spec06Server,464.h264ref,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1765.ref.rsf
default,spec06Server,464.h264ref,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,2110.13
default,spec06Server,471.omnetpp,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1766.ref.rsf
default,spec06Server,471.omnetpp,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,742.83
default,spec06Server,473.astar,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1767.ref.rsf
default,spec06Server,473.astar,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,811.67
default,spec06Server,483.xalancbmk,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1768.ref.rsf
default,spec06Server,483.xalancbmk,0,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1429.75
default,spec06Server,400.perlbench,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1769.ref.rsf
default,spec06Server,400.perlbench,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1387.09
default,spec06Server,401.bzip2,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1770.ref.rsf
default,spec06Server,401.bzip2,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,845.93
default,spec06Server,403.gcc,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1771.ref.rsf
default,spec06Server,403.gcc,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1123.96
